


2019-08-19 09:16:30
EENHEID Lnight
GRONDINVLOED JA
TELLINGEN
DEMPING-LANDING   0.00
DEMPING-START   0.00
MINDBA  20.00
TIJDSTAP   2.00
X-ONDER     84000
X-BOVEN    155000
X-STAP       250
NX   285
Y-ONDER    450000
Y-BOVEN    526000
Y-STAP       250
NY   305
NVLB     31244
NEFF         0
NLOS         0
NWEG         0
 1.884317E+01 1.913408E+01 1.943017E+01 1.973182E+01 2.003924E+01 2.035200E+01 2.066929E+01 2.098973E+01 2.131213E+01 2.163496E+01
 2.195665E+01 2.227548E+01 2.259031E+01 2.290057E+01 2.320612E+01 2.350652E+01 2.380147E+01 2.409022E+01 2.437208E+01 2.464613E+01
 2.491097E+01 2.516498E+01 2.540709E+01 2.563635E+01 2.585091E+01 2.605015E+01 2.623357E+01 2.640098E+01 2.655256E+01 2.668878E+01
 2.681020E+01 2.691751E+01 2.701127E+01 2.709215E+01 2.716083E+01 2.721810E+01 2.726483E+01 2.730203E+01 2.733064E+01 2.735170E+01
 2.736609E+01 2.737463E+01 2.737802E+01 2.737701E+01 2.737227E+01 2.736448E+01 2.735421E+01 2.734194E+01 2.732805E+01 2.731289E+01
 2.729672E+01 2.727979E+01 2.726231E+01 2.724445E+01 2.722634E+01 2.720815E+01 2.718995E+01 2.717170E+01 2.715353E+01 2.713540E+01
 2.711727E+01 2.709915E+01 2.708108E+01 2.706299E+01 2.704485E+01 2.702662E+01 2.700821E+01 2.698967E+01 2.697102E+01 2.695224E+01
 2.693338E+01 2.691442E+01 2.689521E+01 2.687574E+01 2.685607E+01 2.683622E+01 2.681612E+01 2.679575E+01 2.677507E+01 2.675395E+01
 2.673215E+01 2.670951E+01 2.668589E+01 2.666147E+01 2.663628E+01 2.661037E+01 2.658350E+01 2.655557E+01 2.652651E+01 2.649618E+01
 2.646427E+01 2.643073E+01 2.639541E+01 2.635808E+01 2.631844E+01 2.627627E+01 2.623155E+01 2.618427E+01 2.613441E+01 2.608200E+01
 2.602757E+01 2.597112E+01 2.591200E+01 2.585051E+01 2.578700E+01 2.572164E+01 2.565466E+01 2.558611E+01 2.551624E+01 2.544517E+01
 2.537309E+01 2.530007E+01 2.522626E+01 2.515184E+01 2.507680E+01 2.500115E+01 2.492446E+01 2.484627E+01 2.476620E+01 2.468355E+01
 2.459878E+01 2.451225E+01 2.442404E+01 2.433384E+01 2.424164E+01 2.414733E+01 2.405054E+01 2.395093E+01 2.384805E+01 2.374137E+01
 2.363010E+01 2.351352E+01 2.339087E+01 2.326124E+01 2.312378E+01 2.297802E+01 2.282356E+01 2.265993E+01 2.248719E+01 2.230538E+01
 2.211484E+01 2.191601E+01 2.170933E+01 2.149493E+01 2.127351E+01 2.104549E+01 2.081140E+01 2.057176E+01 2.032746E+01 2.008987E+01
 1.985341E+01 1.961729E+01 1.938344E+01 1.915393E+01 1.893033E+01 1.871410E+01 1.850630E+01 1.830843E+01 1.812161E+01 1.794611E+01
 1.778225E+01 1.763019E+01 1.748951E+01 1.736072E+01 1.724350E+01 1.713749E+01 1.704213E+01 1.695696E+01 1.688148E+01 1.681419E+01
 1.675627E+01 1.671474E+01 1.667703E+01 1.664272E+01 1.661100E+01 1.658087E+01 1.655184E+01 1.652397E+01 1.649687E+01 1.647307E+01
 1.645844E+01 1.644263E+01 1.642499E+01 1.640608E+01 1.638523E+01 1.636170E+01 1.633382E+01 1.630121E+01 1.626381E+01 1.622107E+01
 1.617278E+01 1.611824E+01 1.605682E+01 1.598786E+01 1.591130E+01 1.582661E+01 1.573307E+01 1.563061E+01 1.551913E+01 1.539867E+01
 1.526996E+01 1.513354E+01 1.499032E+01 1.484201E+01 1.470715E+01 1.457392E+01 1.444172E+01 1.431229E+01 1.418640E+01 1.406561E+01
 1.395054E+01 1.384293E+01 1.376461E+01 1.369172E+01 1.362416E+01 1.356157E+01 1.350399E+01 1.345133E+01 1.340355E+01 1.336007E+01
 1.332056E+01 1.328470E+01 1.325151E+01 1.322106E+01 1.319303E+01 1.316681E+01 1.314230E+01 1.311870E+01 1.309605E+01 1.307367E+01
 1.305100E+01 1.302858E+01 1.300649E+01 1.298364E+01 1.296010E+01 1.293577E+01 1.291115E+01 1.288666E+01 1.286176E+01 1.283748E+01
 1.281347E+01 1.278982E+01 1.276738E+01 1.274599E+01 1.272578E+01 1.270878E+01 1.269506E+01 1.268475E+01 1.267450E+01 1.266417E+01
 1.265323E+01 1.264279E+01 1.266744E+01 1.270133E+01 1.272852E+01
 1.422561E+01 1.429311E+01 1.435832E+01 1.442226E+01 1.448751E+01 1.455417E+01 1.462526E+01 1.470058E+01 1.478231E+01 1.487334E+01
 1.497529E+01 1.508834E+01 1.521172E+01 1.534615E+01 1.549330E+01 1.565290E+01 1.582426E+01 1.600640E+01 1.619906E+01 1.640196E+01
