          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
      -2875.00       3000.00          0.00         40.04         29.10         36.14         36.85
      -2750.00      -3000.00          0.00         40.31         29.43         36.48         37.28
      -2750.00      -2875.00          0.00         40.54         29.79         36.92         37.75
      -2750.00      -2750.00          0.00         40.77         30.15         37.37         38.21
      -2750.00      -2625.00          0.00         41.00         30.52         37.83         38.68
      -2750.00      -2500.00          0.00         41.23         30.88         38.32         39.15
      -2750.00      -2375.00          0.00         41.47         31.24         38.82         39.61
      -2750.00      -2250.00          0.00         41.70         31.59         39.35         40.07
      -2750.00      -2125.00          0.00         41.93         31.95         39.90         40.52
      -2750.00      -2000.00          0.00         42.17         32.30         40.47         40.97
      -2750.00      -1875.00          0.00         42.39         32.64         41.02         41.41
      -2750.00      -1750.00          0.00         42.58         32.97         41.28         41.84
      -2750.00      -1625.00          0.00         42.75         33.29         41.54         42.25
      -2750.00      -1500.00          0.00         42.92         33.61         41.79         42.66
      -2750.00      -1375.00          0.00         43.09         33.90         42.04         43.04
      -2750.00      -1250.00          0.00         43.24         34.18         42.28         43.36
      -2750.00      -1125.00          0.00         43.33         34.42         42.52         43.64
      -2750.00      -1000.00          0.00         43.31         34.65         42.74         43.89
      -2750.00       -875.00          0.00         43.25         34.85         42.97         44.12
      -2750.00       -750.00          0.00         43.15         35.04         43.21         44.32
      -2750.00       -625.00          0.00         43.00         35.19         43.44         44.50
      -2750.00       -500.00          0.00         42.81         35.33         43.67         44.65
      -2750.00       -375.00          0.00         42.66         35.43         43.83         44.76
      -2750.00       -250.00          0.00         42.49         35.51         43.97         44.85
      -2750.00       -125.00          0.00         42.28         35.55         44.09         44.90
      -2750.00          0.00          0.00         42.18         35.57         44.07         44.91
      -2750.00        125.00          0.00         42.28         35.55         44.09         44.90
      -2750.00        250.00          0.00         42.49         35.51         43.97         44.85
      -2750.00        375.00          0.00         42.66         35.43         43.83         44.76
      -2750.00        500.00          0.00         42.81         35.33         43.67         44.65
      -2750.00        625.00          0.00         43.00         35.19         43.44         44.50
      -2750.00        750.00          0.00         43.15         35.04         43.20         44.32
      -2750.00        875.00          0.00         43.25         34.85         42.97         44.12
      -2750.00       1000.00          0.00         43.31         34.65         42.74         43.89
      -2750.00       1125.00          0.00         43.33         34.42         42.51         43.64
      -2750.00       1250.00          0.00         43.24         34.18         42.28         43.36
      -2750.00       1375.00          0.00         43.09         33.90         42.04         43.04
      -2750.00       1500.00          0.00         42.93         33.61         41.79         42.66
      -2750.00       1625.00          0.00         42.76         33.29         41.54         42.25
      -2750.00       1750.00          0.00         42.58         32.97         41.28         41.84
      -2750.00       1875.00          0.00         42.40         32.64         41.02         41.41
      -2750.00       2000.00          0.00         42.17         32.30         40.47         40.97
      -2750.00       2125.00          0.00         41.94         31.95         39.89         40.52
      -2750.00       2250.00          0.00         41.70         31.59         39.34         40.07
      -2750.00       2375.00          0.00         41.47         31.24         38.82         39.61
      -2750.00       2500.00          0.00         41.24         30.88         38.31         39.15
      -2750.00       2625.00          0.00         41.00         30.52         37.83         38.68
      -2750.00       2750.00          0.00         40.77         30.15         37.36         38.21
      -2750.00       2875.00          0.00         40.54         29.79         36.91         37.75
      -2750.00       3000.00          0.00         40.31         29.43         36.47         37.28
      -2625.00      -3000.00          0.00         40.58         29.76         36.81         37.71
      -2625.00      -2875.00          0.00         40.83         30.14         37.26         38.19
      -2625.00      -2750.00          0.00         41.06         30.52         37.71         38.68
      -2625.00      -2625.00          0.00         41.30         30.90         38.19         39.17
      -2625.00      -2500.00          0.00         41.55         31.28         38.68         39.66
      -2625.00      -2375.00          0.00         41.79         31.65         39.19         40.14
      -2625.00      -2250.00          0.00         42.03         32.03         39.72         40.63
      -2625.00      -2125.00          0.00         42.28         32.40         40.28         41.11
      -2625.00      -2000.00          0.00         42.53         32.77         40.86         41.59
      -2625.00      -1875.00          0.00         42.76         33.14         41.41         42.05
      -2625.00      -1750.00          0.00         42.96         33.49         41.69         42.51
      -2625.00      -1625.00          0.00         43.15         33.84         41.96         42.95
      -2625.00      -1500.00          0.00         43.33         34.16         42.22         43.35
      -2625.00      -1375.00          0.00         43.51         34.46         42.49         43.68
      -2625.00      -1250.00          0.00         43.68         34.74         42.74         44.00
      -2625.00      -1125.00          0.00         43.77         35.01         42.99         44.29
      -2625.00      -1000.00          0.00         43.77         35.25         43.23         44.56
      -2625.00       -875.00          0.00         43.72         35.48         43.47         44.81
      -2625.00       -750.00          0.00         43.64         35.68         43.72         45.03
      -2625.00       -625.00          0.00         43.49         35.85         43.97         45.23
      -2625.00       -500.00          0.00         43.31         35.99         44.21         45.39
      -2625.00       -375.00          0.00         43.18         36.11         44.37         45.52
      -2625.00       -250.00          0.00         43.00         36.19         44.53         45.61
      -2625.00       -125.00          0.00         42.78         36.24         44.65         45.66
      -2625.00          0.00          0.00         42.67         36.26         44.64         45.68
      -2625.00        125.00          0.00         42.78         36.24         44.65         45.66
      -2625.00        250.00          0.00         43.00         36.19         44.53         45.61
      -2625.00        375.00          0.00         43.18         36.11         44.37         45.52
