          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
     104187.00     477970.00          0.00         10.60         32.80         12.96         40.49
     104187.00     478095.00          0.00          9.64         32.72         12.67         40.40
     104187.00     478220.00          0.00          8.63         32.63         11.83         40.28
     104187.00     478345.00          0.00          9.31         32.52         12.21         40.15
     104187.00     478470.00          0.00         10.08         32.40         12.58         40.00
     104187.00     478595.00          0.00         10.49         32.26         12.19         39.82
     104187.00     478720.00          0.00         10.67         32.11         11.90         39.64
     104187.00     478845.00          0.00         10.75         31.95         11.62         39.43
     104187.00     478970.00          0.00         10.90         31.77         11.26         39.21
     104187.00     479095.00          0.00         10.96         31.58         10.92         38.98
     104187.00     479220.00          0.00         10.97         31.38         10.58         38.74
     104187.00     479345.00          0.00         10.94         31.17         10.26         38.48
     104187.00     479470.00          0.00         10.86         30.96          9.94         38.21
     104187.00     479595.00          0.00         10.62         30.73          9.61         37.93
     104187.00     479720.00          0.00         10.38         30.50          9.28         37.64
     104187.00     479845.00          0.00         10.12         30.26          8.94         37.34
     104187.00     479970.00          0.00          9.86         30.01          8.61         37.03
     104187.00     480095.00          0.00          9.59         29.73          8.27         36.64
     104187.00     480220.00          0.00          9.29         29.45          7.81         36.25
     104187.00     480345.00          0.00          8.97         29.16          7.13         35.85
     104187.00     480470.00          0.00          8.64         28.87          6.48         35.44
     104187.00     480595.00          0.00          8.31         28.58          5.85         35.03
     104187.00     480720.00          0.00          7.98         28.28          5.25         34.61
     104187.00     480845.00          0.00          7.65         27.98          4.68         34.19
     104187.00     480970.00          0.00          7.32         27.68          4.12         33.77
     104187.00     481095.00          0.00          7.00         27.37          3.58         33.34
     104187.00     481220.00          0.00          6.67         27.07          3.05         32.91
     104187.00     481345.00          0.00          6.33         26.76          2.53         32.49
     104187.00     481470.00          0.00          5.92         26.46          1.91         32.06
     104187.00     481595.00          0.00          5.51         26.15          1.31         31.63
     104187.00     481720.00          0.00          5.11         25.85          0.72         31.20
     104187.00     481845.00          0.00          4.72         25.54          0.15         30.77
     104187.00     481970.00          0.00          4.34         25.24          0.00         30.35
     104187.00     482095.00          0.00          3.96         24.93          0.00         29.92
     104187.00     482220.00          0.00          3.59         24.63          0.00         29.50
     104187.00     482345.00          0.00          3.23         24.33          0.00         29.07
     104187.00     482470.00          0.00          2.87         24.03          0.00         28.65
     104187.00     482595.00          0.00          2.52         23.74          0.00         28.24
     104187.00     482720.00          0.00          2.18         23.44          0.00         27.82
     104187.00     482845.00          0.00          1.84         23.15          0.00         27.41
     104187.00     482970.00          0.00          1.51         22.86          0.00         27.00
     104187.00     483095.00          0.00          1.18         22.57          0.00         26.59
     104187.00     483220.00          0.00          0.85         22.28          0.00         26.19
     104187.00     483345.00          0.00          0.49         22.00          0.00         25.79
     104187.00     483470.00          0.00          0.14         21.71          0.00         25.39
     104187.00     483595.00          0.00          0.00         21.43          0.00         24.99
     104187.00     483720.00          0.00          0.00         21.16          0.00         24.60
     104187.00     483845.00          0.00          0.00         20.88          0.00         24.21
     104187.00     483970.00          0.00          0.00         20.61          0.00         23.83
     104187.00     484095.00          0.00          0.00         20.34          0.00         23.45
     104187.00     484220.00          0.00          0.00         20.07          0.00         23.07
     104187.00     484345.00          0.00          0.00         19.81          0.00         22.69
     104187.00     484470.00          0.00          0.00         19.54          0.00         22.32
     104187.00     484595.00          0.00          0.00         19.28          0.00         21.95
     104187.00     484720.00          0.00          0.00         19.03          0.00         21.59
     104187.00     484845.00          0.00          0.00         18.77          0.00         21.23
     104187.00     484970.00          0.00          0.00         18.52          0.00         20.87
     104187.00     485095.00          0.00          0.00         18.27          0.00         20.52
     104187.00     485220.00          0.00          0.00         18.02          0.00         20.17
     104187.00     485345.00          0.00          0.00         17.77          0.00         19.82
     104187.00     485470.00          0.00          0.00         17.53          0.00         19.47
     104312.00     475470.00          0.00         10.57         31.47          7.85         38.84
     104312.00     475595.00          0.00         10.88         31.70          8.32         39.12
     104312.00     475720.00          0.00         11.18         31.91          8.82         39.39
     104312.00     475845.00          0.00         11.47         32.12          9.33         39.65
     104312.00     475970.00          0.00         11.75         32.32          9.85         39.89
     104312.00     476095.00          0.00         12.03         32.50         10.40         40.12
     104312.00     476220.00          0.00         12.30         32.67         10.98         40.33
     104312.00     476345.00          0.00         12.51         32.83         11.33         40.53
     104312.00     476470.00          0.00         12.70         32.97         11.57         40.71
     104312.00     476595.00          0.00         12.87         33.10         11.81         40.87
     104312.00     476720.00          0.00         13.03         33.21         12.03         41.00
     104312.00     476845.00          0.00         13.16         33.31         12.24         41.12
     104312.00     476970.00          0.00         13.27         33.39         12.43         41.22
     104312.00     477095.00          0.00         13.21         33.45         12.59         41.30
     104312.00     477220.00          0.00         13.10         33.49         12.76         41.35
     104312.00     477345.00          0.00         12.93         33.52         12.92         41.38
     104312.00     477470.00          0.00         12.69         33.53         13.09         41.39
     104312.00     477595.00          0.00         12.37         33.52         13.26         41.38
     104312.00     477720.00          0.00         12.09         33.49         13.35         41.34
     104312.00     477845.00          0.00         11.71         33.44         13.44         41.28
     104312.00     477970.00          0.00         11.07         33.37         13.64         41.20
