NPD_ID   MET    OP     THR   200   400   630  1000  2000  4000  6300 10000 16000 25000  C
2JT8D2     M     A    6000  92.9  85.6  80.9  76.1  68.4  60.0  53.8  47.1  40.3  33.9  J
2JT8D2     M     D    9000 100.6  93.9  89.5  84.8  77.3  69.0  62.9  56.1  49.2  42.5  J
2JT8D2     M     D   11000 103.0  96.3  91.9  87.2  79.6  71.2  65.0  58.2  51.2  44.4  J
2JT8D2     M     D   13000 105.4  98.7  94.2  89.5  81.8  73.3  67.1  60.2  53.1  46.3  J
2JT8D2     M     D   15000 107.8 101.1  96.6  91.8  84.1  75.5  69.2  62.2  55.1  48.2  J
2JT8D2     M     D   17000 110.2 103.5  99.0  94.2  86.4  77.6  71.3  64.2  57.0  50.1  J
2JT8D2     M     D   19000 112.6 105.9 101.4  96.5  88.6  79.8  73.4  66.2  59.0  52.0  J
2JT8D2     S     A    4000  91.5  87.5  84.7  81.9  77.1  71.6  67.2  62.4  57.5  52.9  J
2JT8D2     S     A    4667  92.6  88.5  85.8  82.9  78.1  72.6  68.2  63.4  58.5  53.8  J
2JT8D2     S     A    5333  93.7  89.6  86.8  83.9  79.1  73.6  69.2  64.4  59.4  54.8  J
2JT8D2     S     A    6000  94.7  90.6  87.8  84.9  80.1  74.6  70.2  65.4  60.4  55.7  J
2JT8D2     S     D    9000 100.1  96.3  93.7  91.0  86.3  80.8  76.6  71.6  66.5  61.7  J
2JT8D2     S     D   11000 102.4  98.7  96.1  93.3  88.6  83.0  78.7  73.7  68.7  63.8  J
2JT8D2     S     D   13000 104.8 101.0  98.5  95.6  90.9  85.2  80.9  75.9  70.8  65.9  J
2JT8D2     S     D   15000 107.1 103.4 100.8  98.0  93.1  87.4  83.1  78.0  72.9  68.0  J
2JT8D2     S     D   17000 109.5 105.7 103.2 100.3  95.4  89.6  85.2  80.2  75.0  70.1  J
2JT8D2     S     D   19000 111.8 108.1 105.5 102.7  97.7  91.8  87.4  82.3  77.2  72.2  J
2JT8D2     P     A    4000 103.0  95.1  90.1  84.7  76.1  66.6  59.7  52.2  44.5  37.2  J
2JT8D2     P     A    4667 104.1  96.2  91.2  85.8  77.1  67.6  60.7  53.2  45.5  38.1  J
2JT8D2     P     A    5333 105.1  97.3  92.2  86.9  78.2  68.6  61.7  54.1  46.5  39.1  J
2JT8D2     P     A    6000 106.1  98.4  93.3  87.9  79.2  69.7  62.7  55.1  47.4  40.0  J
2JT8D2     P     D    9000 112.7 105.8 101.1  96.3  88.3  79.4  72.8  65.4  57.9  50.6  J
2JT8D2     P     D   11000 115.2 108.3 103.5  98.5  90.5  81.6  75.0  67.6  60.0  52.8  J
2JT8D2     P     D   13000 117.6 110.7 105.9 100.8  92.7  83.7  77.1  69.7  62.2  54.9  J
2JT8D2     P     D   15000 120.1 113.2 108.3 103.1  94.9  85.9  79.3  71.9  64.3  57.1  J
2JT8D2     P     D   17000 122.6 115.6 110.7 105.4  97.1  88.1  81.4  74.0  66.5  59.2  J
2JT8D2     P     D   19000 125.0 118.1 113.0 107.6  99.3  90.3  83.6  76.2  68.6  61.4  J
2JT8D2     E     A    4000  96.0  91.3  88.1  84.4  78.4  71.1  65.6  59.6  53.4  47.5  J
2JT8D2     E     A    4667  97.0  92.3  89.0  85.3  79.3  72.2  66.7  60.7  54.6  48.7  J
2JT8D2     E     A    5333  98.0  93.2  89.9  86.2  80.3  73.3  67.9  61.9  55.8  49.9  J
2JT8D2     E     A    6000  99.1  94.2  90.8  87.1  81.2  74.3  69.0  63.0  57.0  51.1  J
2JT8D2     E     D    9000 103.3  99.2  96.0  92.8  87.5  81.3  76.1  70.5  64.8  59.2  J
2JT8D2     E     D   11000 105.6 101.4  98.3  95.1  89.7  83.6  78.5  72.9  67.2  61.7  J
2JT8D2     E     D   13000 107.8 103.7 100.6  97.4  92.0  85.9  80.9  75.4  69.7  64.2  J
2JT8D2     E     D   15000 110.0 106.0 103.0  99.7  94.3  88.2  83.4  77.8  72.2  66.7  J
2JT8D2     E     D   17000 112.3 108.3 105.3 102.0  96.6  90.5  85.8  80.3  74.7  69.2  J
2JT8D2     E     D   19000 114.5 110.6 107.6 104.3  98.8  92.8  88.3  82.7  77.1  71.7  J
